"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003866,C,3,0315 Megadyne Product Master Data Specification","0315 Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/11/2020 07:58:42:862","Release"
"SPE003866,A,2,0315 Megadyne Product Master Data Specification","0315 Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/11/2020 07:58:41:580","Release"
"SPE003866,B,2,0315 Megadyne Product Master Data Specification","0315 Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/11/2020 07:58:41:143","Release"
"DR000815,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/23/2020 09:18:15:005","Release"
"SCN076150,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-031)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-031)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","06/18/2020 16:49:59:194","Release"





