"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003797,C,2,0035H Megadyne Product Master Data Specification","0035H Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/25/2020 08:06:30:454","Release"
"SPE003797,A,2,0035H Megadyne Product Master Data Specification","0035H Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/25/2020 08:06:29:486","Release"
"SPE003797,B,2,0035H Megadyne Product Master Data Specification","0035H Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/25/2020 08:06:29:173","Release"
"SCN075569,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","08/14/2020 16:06:36:983","Release"





