"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SCN075729,B,4,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","In Review"," ","NO","09/03/2020 10:07:30:861","WIP"
"SCN075729,A,3,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","08/31/2020 13:17:51:897","Release"
"SPE003720,C,2,0009 Megadyne Product Master Data Specification","0009 Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/14/2020 14:54:45:755","Release"
"SPE003720,A,3,0009 Megadyne Product Master Data Specification","0009 Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/14/2020 14:54:44:443","Release"
"SPE003720,B,2,0009 Megadyne Product Master Data Specification","0009 Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/14/2020 14:54:44:224","Release"
"DR000803,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/08/2020 11:38:28:461","Release"





