"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003753,C,2,0015 Megadyne Product Master Data Specification","0015 Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/11/2020 12:43:45:437","Release"
"SPE003753,A,3,0015 Megadyne Product Master Data Specification","0015 Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/11/2020 12:43:44:158","Release"
"SPE003753,B,2,0015 Megadyne Product Master Data Specification","0015 Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/11/2020 12:43:43:578","Release"
"DR000791,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","06/29/2020 11:34:41:182","Release"
"SCN075321,A,3,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","05/14/2020 14:54:29:496","Release"





