Name,Title,Type,Revision,Class,Lifecycle State,Scanned In,Checked Out?,Modified Date,Owner Name
"DR000840,A,2,Update Megadyne Product Labeling",Update Megadyne Product Labeling,PCO,A,Design Requirement,Released, ,NO,08/19/2020 14:11:08:923,Release
"SPE003773,C,2,0021 Megadyne Product Master Data Specification",0021 Megadyne Product Master Data Specification,Product Master Data Specification,C,Specification,Released, ,NO,08/19/2020 14:01:01:407,Release
"SPE003773,A,2,0021 Megadyne Product Master Data Specification",0021 Megadyne Product Master Data Specification,Product Master Data Specification,A,Specification,Released, ,NO,08/19/2020 14:00:58:532,Release
"SPE003773,B,2,0021 Megadyne Product Master Data Specification",0021 Megadyne Product Master Data Specification,Product Master Data Specification,B,Specification,Released, ,NO,08/19/2020 14:00:58:000,Release
"SCN076749,A,3,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-023)",Update Megadyne Labeling per International Labeling Requirements (RA-DOC-023),ECR/ECP supportive documents,A,Scanned (Hardcopy) Item,Released, ,NO,07/02/2020 11:50:14:351,Release
