Name,Title,Type,Revision,Class,Lifecycle State,Scanned In,Checked Out?,Modified Date,Owner Name
"SPE003837,B,2,0080J Megadyne Product Master Data Specification",0080J Megadyne Product Master Data Specification,Product Master Data Specification,B,Specification,Released, ,NO,09/02/2020 14:24:08:548,Release
"SPE003837,A,2,0080J Megadyne Product Master Data Specification",0080J Megadyne Product Master Data Specification,Product Master Data Specification,A,Specification,Released, ,NO,09/02/2020 14:24:06:330,Release
