Name,Title,Type,Revision,Class,Lifecycle State,Scanned In,Checked Out?,Modified Date,Owner Name
"SPE003841,C,2,0100L Megadyne Product Master Data Specification",0100L Megadyne Product Master Data Specification,Product Master Data Specification,C,Specification,Released, ,NO,08/25/2020 14:13:54:230,Release
"SPE003841,A,2,0100L Megadyne Product Master Data Specification",0100L Megadyne Product Master Data Specification,Product Master Data Specification,A,Specification,Released, ,NO,08/25/2020 14:13:51:855,Release
"SPE003841,B,2,0100L Megadyne Product Master Data Specification",0100L Megadyne Product Master Data Specification,Product Master Data Specification,B,Specification,Released, ,NO,08/25/2020 14:13:51:573,Release
"DR000840,A,2,Update Megadyne Product Labeling",Update Megadyne Product Labeling,PCO,A,Design Requirement,Released, ,NO,08/19/2020 14:11:08:923,Release
"SCN076749,A,3,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-023)",Update Megadyne Labeling per International Labeling Requirements (RA-DOC-023),ECR/ECP supportive documents,A,Scanned (Hardcopy) Item,Released, ,NO,07/02/2020 11:50:14:351,Release
